Country,ISO3166,MCC MNC,MNO,RAT,Bands (Main),Plan,Support,Supported Features,Date
Cyprus,CYP,28001,Cytamobile,NB-IoT,,plan01s,Observed,,06/06/2024
Denmark,DNK,23802,Telenor,NB-IoT,B20,plan01s,Guaranteed,PSM,12/09/2024
Estonia,EST,24802,Elisa,NB-IoT,B20,planP1,Validated,PSM* and eDRX | SMS (MT),06/04/2024
Estonia,EST,24802,Elisa,NB-IoT,B20,planX3,Validated,PSM* | SMS,09/30/2024
Estonia,EST,24802,Elisa,NB-IoT,B20,plan01s,Validated,PSM* | SMS,06/04/2024
Finland,FIN,24412,DNA,NB-IoT,B8 | B20,plan01s,Guaranteed,PSM* and eDRX | SMS,09/13/2024
Finland,FIN,24412,DNA,NB-IoT,B8 | B20,planX3,Validated,PSM and eDRX,06/04/2024
Germany,DEU,26203,O2,NB-IoT,B20,planX3,Validated,PSM*>=180min | SMS,09/26/2024
Germany,DEU,26203,O2,NB-IoT,B20,plan01s,Guaranteed,PSM*>=180min | SMS,02/14/2025
Germany,DEU,26202,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX,08/20/2024
Greece,GRC,20205,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM*,02/14/2025
Greece,GRC,20210,Wind,NB-IoT,B20,plan01s,Validated,PSM*,09/17/2024
Greece,GRC,20210,Wind,NB-IoT,B20,planP1,Validated,PSM* and eDRX,06/04/2024
Greece,GRC,20205,Vodafone,NB-IoT,B20,planX3,Validated,PSM*,06/04/2024
India,IND,40445,AirTel,NB-IoT,,plan01s,Observed,,03/05/2025
Ireland,IRL,27205,3,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,09/13/2024
Italy,ITA,22201,TIM,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX,02/14/2025
Italy,ITA,22201,TIM,NB-IoT,B20,planX3,Guaranteed,PSM* and eDRX,06/04/2024
Italy,ITA,22210,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM,08/20/2024
Israel,ISR,42501,Partner,NB-IoT,B28,plan01s,Validated,eDRX* | SMS,12/12/2024
Latvia,LVA,24701,LMT,NB-IoT,B20,plan01s,Guaranteed,SMS,05/30/2024
Luxembourg,LUX,27077,Tango,NB-IoT,B20,plan01s,Validated,,12/30/2024
Malta,MLT,27877,Melita,NB-IoT,B20,plan01s,Validated,PSM and eDRX* | SMS,01/14/2025
Mexico,MEX,334020,Telcel,NB-IoT,B5,plan01s,Validated,PSM* and eDRX | SMS,09/30/2024
Netherlands,NLD,20404,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX,06/04/2024
Norway,NOR,24201,Telenor,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,09/13/2024
Puerto Rico,PRI,310260,T-Mobile,NB-IoT,B4,plan01s,Validated,PSM and eDRX,04/04/2024
Singapore,SGP,52501,Singtel,NB-IoT,B3 | B8,plan01s,Validated,PSM* and eDRX,06/04/2024
Singapore,SGP,52501,Singtel,NB-IoT,B3 | B8,planP1,Validated,PSM* and eDRX,06/04/2024
Slovak Republic,SVK,23101,Orange,NB-IoT,B20,planX3,Guaranteed,PSM and eDRX,06/04/2024
Slovenia,SVN,29340,A1,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX,08/20/2024
Slovenia,SVN,29340,A1,NB-IoT,B20,planP1,Validated,PSM and eDRX,02/20/2025
Slovenia,SVN,29340,A1,NB-IoT,B20,planX3,Validated,PSM and eDRX,02/20/2025
South Africa,ZAF,65501,Vodacom,NB-IoT,B8,plan01s,Validated,PSM and eDRX,11/28/2024
Spain,ESP,21403,Orange,NB-IoT,B20,plan01s,Validated,PSM* and eDRX,08/20/2024
Spain,ESP,21403,Orange,NB-IoT,B20,planX3,Validated,SMS,06/04/2024
Spain,ESP,21407,Movistar,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,01/20/2025
Spain,ESP,21401,Vodafone,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,08/20/2024
Switzerland,CHE,22801,Swisscom,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,06/04/2024
Switzerland,CHE,22802,Sunrise,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,06/04/2024
Taiwan,TWN,46692,Chunghwa Telecom,NB-IoT,B8 | (B28),plan01s,Guaranteed,PSM* and eDRX,08/20/2024
Turkey,TUR,28601,Turkcell,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX,02/14/2025
